"","Dataset","Frame","Synthesized.View","X.passes","WS.PSNR","CEL","theo_time","p1","p2","p3","V1","V2","V3","V4","V5","V6","V7"
"49","ClassroomVideo",20,1,3,32.0192,0.0819846797132391,146.603,2,4,6,0,10,7,8,12,11,13
"50","ClassroomVideo",20,1,3,32.0201,0.0793128476506569,151.553,2,4,7,0,10,7,8,12,11,13
"51","ClassroomVideo",20,1,3,32.0191,0.0819839975989577,146.603,2,5,6,0,10,7,8,12,11,13
"52","ClassroomVideo",20,1,3,32.02,0.0793121878154837,151.553,2,5,7,0,10,7,8,12,11,13
"53","ClassroomVideo",20,1,3,32.0205,0.0793154869913495,151.553,2,6,7,0,10,7,8,12,11,13
"54","ClassroomVideo",20,1,3,32.0117,0.0828410242970544,144.997,3,4,5,0,10,7,8,12,11,13
"55","ClassroomVideo",20,1,3,32.0231,0.0820112821702148,146.603,3,4,6,0,10,7,8,12,11,13
"56","ClassroomVideo",20,1,3,32.0241,0.0793392410575838,151.553,3,4,7,0,10,7,8,12,11,13
"57","ClassroomVideo",20,1,3,32.0231,0.0820112821702148,146.603,3,5,6,0,10,7,8,12,11,13
"58","ClassroomVideo",20,1,3,32.024,0.0793385812224107,151.553,3,5,7,0,10,7,8,12,11,13
"59","ClassroomVideo",20,1,3,32.0245,0.0793418803982765,151.553,3,6,7,0,10,7,8,12,11,13
"60","ClassroomVideo",20,1,3,32.0207,0.0819949114274605,146.603,4,5,6,0,10,7,8,12,11,13
"61","ClassroomVideo",20,1,3,32.0216,0.0793227451782545,151.553,4,5,7,0,10,7,8,12,11,13
"62","ClassroomVideo",20,1,3,32.0221,0.0793260443541204,151.553,4,6,7,0,10,7,8,12,11,13
"63","ClassroomVideo",20,1,3,32.0331,0.0793986262231694,151.553,5,6,7,0,10,7,8,12,11,13
"64","ClassroomVideo",20,2,1,31.0264,0.0815894039735099,135.145,1,0,0,0,11,7,8,13,10,12
"65","ClassroomVideo",20,2,1,31.2862,0.082551548088387,136.717,2,0,0,0,11,7,8,13,10,12
"66","ClassroomVideo",20,2,1,31.2946,0.0821903653034493,137.42,3,0,0,0,11,7,8,13,10,12
"67","ClassroomVideo",20,2,1,31.297,0.0823991072275184,137.101,4,0,0,0,11,7,8,13,10,12
"68","ClassroomVideo",20,2,1,31.543,0.0812092388436671,142.139,5,0,0,0,11,7,8,13,10,12
"69","ClassroomVideo",20,2,1,31.7032,0.077857831886372,150.315,6,0,0,0,11,7,8,13,10,12
"70","ClassroomVideo",20,2,1,31.727,0.0774493940494667,151.415,7,0,0,0,11,7,8,13,10,12
"71","ClassroomVideo",20,2,2,31.1346,0.0814426881806944,136.717,1,2,0,0,11,7,8,13,10,12
"72","ClassroomVideo",20,2,2,31.1362,0.0810376946587105,137.42,1,3,0,0,11,7,8,13,10,12
"73","ClassroomVideo",20,2,2,31.1362,0.0812262492614933,137.101,1,4,0,0,11,7,8,13,10,12
"74","ClassroomVideo",20,2,2,31.1834,0.0786793209463975,142.139,1,5,0,0,11,7,8,13,10,12
"75","ClassroomVideo",20,2,2,31.2526,0.0748601270664937,150.315,1,6,0,0,11,7,8,13,10,12
"76","ClassroomVideo",20,2,2,31.2509,0.0743050556417792,151.415,1,7,0,0,11,7,8,13,10,12
"77","ClassroomVideo",20,2,2,31.2883,0.0821445204482608,137.42,2,3,0,0,11,7,8,13,10,12
"78","ClassroomVideo",20,2,2,31.2884,0.082336379749236,137.101,2,4,0,0,11,7,8,13,10,12
"79","ClassroomVideo",20,2,2,31.3418,0.079793723045751,142.139,2,5,0,0,11,7,8,13,10,12
"80","ClassroomVideo",20,2,2,31.4189,0.0759664704121345,150.315,2,6,0,0,11,7,8,13,10,12
"81","ClassroomVideo",20,2,2,31.4178,0.0754073242413235,151.415,2,7,0,0,11,7,8,13,10,12
"82","ClassroomVideo",20,2,2,31.2947,0.0823823312740243,137.101,3,4,0,0,11,7,8,13,10,12
"83","ClassroomVideo",20,2,2,31.348,0.0798373423198418,142.139,3,5,0,0,11,7,8,13,10,12
"84","ClassroomVideo",20,2,2,31.4251,0.0760077171273659,150.315,3,6,0,0,11,7,8,13,10,12
"85","ClassroomVideo",20,2,2,31.4242,0.0754495921804313,151.415,3,7,0,0,11,7,8,13,10,12
"86","ClassroomVideo",20,2,2,31.3502,0.0798528201267773,142.139,4,5,0,0,11,7,8,13,10,12
"87","ClassroomVideo",20,2,2,31.4275,0.076023683597778,150.315,4,6,0,0,11,7,8,13,10,12
"88","ClassroomVideo",20,2,2,31.4265,0.0754647822210481,151.415,4,7,0,0,11,7,8,13,10,12
"89","ClassroomVideo",20,2,2,31.6262,0.0773455742939826,150.315,5,6,0,0,11,7,8,13,10,12
"90","ClassroomVideo",20,2,2,31.6249,0.0767750883333884,151.415,5,7,0,0,11,7,8,13,10,12
"91","ClassroomVideo",20,2,2,31.7023,0.0772862662219727,151.415,6,7,0,0,11,7,8,13,10,12
"92","ClassroomVideo",20,2,3,31.1367,0.0810413331392811,137.42,1,2,3,0,11,7,8,13,10,12
"93","ClassroomVideo",20,2,3,31.1367,0.0812298962079051,137.101,1,2,4,0,11,7,8,13,10,12
"94","ClassroomVideo",20,2,3,31.1884,0.0787144977803418,142.139,1,2,5,0,11,7,8,13,10,12
"95","ClassroomVideo",20,2,3,31.2631,0.0749299803745468,150.315,1,2,6,0,11,7,8,13,10,12
"96","ClassroomVideo",20,2,3,31.2623,0.0743803454083149,151.415,1,2,7,0,11,7,8,13,10,12
"97","ClassroomVideo",20,2,3,31.1362,0.0812262492614933,137.101,1,3,4,0,11,7,8,13,10,12
"98","ClassroomVideo",20,2,3,31.1877,0.0787095730235896,142.139,1,3,5,0,11,7,8,13,10,12
"99","ClassroomVideo",20,2,3,31.2623,0.0749246582177427,150.315,1,3,6,0,11,7,8,13,10,12
"100","ClassroomVideo",20,2,3,31.2617,0.0743763827890236,151.415,1,3,7,0,11,7,8,13,10,12
"101","ClassroomVideo",20,2,3,31.1877,0.0787095730235896,142.139,1,4,5,0,11,7,8,13,10,12
"102","ClassroomVideo",20,2,3,31.2623,0.0749246582177427,150.315,1,4,6,0,11,7,8,13,10,12
"103","ClassroomVideo",20,2,3,31.2617,0.0743763827890236,151.415,1,4,7,0,11,7,8,13,10,12
"104","ClassroomVideo",20,2,3,31.2606,0.0749133486345342,150.315,1,5,6,0,11,7,8,13,10,12
"105","ClassroomVideo",20,2,3,31.2597,0.0743631740580524,151.415,1,5,7,0,11,7,8,13,10,12
"106","ClassroomVideo",20,2,3,31.2521,0.0743129808803619,151.415,1,6,7,0,11,7,8,13,10,12
"107","ClassroomVideo",20,2,3,31.2884,0.082336379749236,137.101,2,3,4,0,11,7,8,13,10,12
"108","ClassroomVideo",20,2,3,31.3415,0.0797916124357143,142.139,2,3,5,0,11,7,8,13,10,12
"109","ClassroomVideo",20,2,3,31.4186,0.075964474603333,150.315,2,3,6,0,11,7,8,13,10,12
"110","ClassroomVideo",20,2,3,31.4176,0.0754060033682264,151.415,2,3,7,0,11,7,8,13,10,12
"111","ClassroomVideo",20,2,3,31.3415,0.0797916124357143,142.139,2,4,5,0,11,7,8,13,10,12
"112","ClassroomVideo",20,2,3,31.4186,0.075964474603333,150.315,2,4,6,0,11,7,8,13,10,12
"113","ClassroomVideo",20,2,3,31.4176,0.0754060033682264,151.415,2,4,7,0,11,7,8,13,10,12
"114","ClassroomVideo",20,2,3,31.4225,0.0759904201177527,150.315,2,5,6,0,11,7,8,13,10,12
"115","ClassroomVideo",20,2,3,31.4216,0.0754324208301688,151.415,2,5,7,0,11,7,8,13,10,12
"116","ClassroomVideo",20,2,3,31.4182,0.0754099659875177,151.415,2,6,7,0,11,7,8,13,10,12
"117","ClassroomVideo",20,2,3,31.348,0.0798373423198418,142.139,3,4,5,0,11,7,8,13,10,12
"118","ClassroomVideo",20,2,3,31.4251,0.0760077171273659,150.315,3,4,6,0,11,7,8,13,10,12
"119","ClassroomVideo",20,2,3,31.4242,0.0754495921804313,151.415,3,4,7,0,11,7,8,13,10,12
"120","ClassroomVideo",20,2,3,31.4288,0.0760323321025846,150.315,3,5,6,0,11,7,8,13,10,12
"121","ClassroomVideo",20,2,3,31.4278,0.0754733678961794,151.415,3,5,7,0,11,7,8,13,10,12
"122","ClassroomVideo",20,2,3,31.4244,0.0754509130535284,151.415,3,6,7,0,11,7,8,13,10,12
