Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"2,3,6",423.792,32.0192,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"2,3,7",427.536,32.0201,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"2,4,5",422.033,32.0077,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"2,4,6",424.032,32.0192,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"2,4,7",430.028,32.0201,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"2,5,6",425.517,32.0191,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"2,5,7",430.039,32.02,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"2,6,7",432.182,32.0205,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"3,4,5",422.152,32.0117,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"3,4,6",424.887,32.0231,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"3,4,7",429.221,32.0241,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"3,5,6",425.85,32.0231,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"3,5,7",432.541,32.024,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"3,6,7",433.675,32.0245,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"4,5,6",426.088,32.0207,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"4,5,7",430.121,32.0216,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"4,6,7",432.858,32.0221,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,3,"5,6,7",433.936,32.0331,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,1,1,135.145,31.0264,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,1,2,136.717,31.2862,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,1,3,137.42,31.2946,"0,4,1,2,6,3,5"
