Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"2,3,5",865.45,34.5463,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"2,3,6",1052.104,34.5775,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"2,3,7",1062.146,34.5766,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"2,4,5",875.769,34.5178,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"2,4,6",1061.443,34.5542,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"2,4,7",1062.829,34.5523,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"2,5,6",1109.431,34.5748,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"2,5,7",1116.741,34.5729,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"2,6,7",1293.77,34.5784,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"3,4,5",880.408,34.5495,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"3,4,6",1068.573,34.588,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"3,4,7",1067.759,34.5861,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"3,5,6",1110.671,34.6106,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"3,5,7",1111.334,34.6086,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"3,6,7",1297.005,34.6115,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"4,5,6",1119.46,34.7186,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"4,5,7",1120.081,34.7163,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"4,6,7",1312.489,34.7245,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"5,6,7",1351.418,34.7033,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,1,1,283.009,31.7478,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,1,2,321.794,32.7198,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,1,3,326.395,32.7176,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,1,4,341.501,32.901,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,1,5,536.315,32.9399,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,1,6,537.477,32.9412,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,1,7,540.666,32.9688,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"1,2",595.442,32.1512,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"1,3",598.402,32.1401,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"1,4",611.811,32.2453,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"1,5",807.57,32.2993,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"1,6",809.789,32.3028,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"1,7",811.002,32.3198,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"2,3",640.334,32.7098,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"2,4",652.469,32.8232,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"2,5",848.024,32.8927,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"2,6",847.435,32.8967,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"2,7",853.92,32.9159,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"3,4",657.835,32.8327,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"3,5",852.879,32.8969,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"3,6",853.792,32.901,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"3,7",855.35,32.9186,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"4,5",870.372,32.9696,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"4,6",868.14,32.9729,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"4,7",875.479,32.9894,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"5,6",1064.089,32.9434,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"5,7",1065.379,32.9596,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,2,"6,7",1065.895,32.9575,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,2,3",912.251,32.1379,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,2,4",927.968,32.2383,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,2,5",1121.999,32.299,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,2,6",1122.969,32.3025,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,2,7",1138.712,32.3192,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,3,4",928.599,32.2406,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,3,5",1131.636,32.2964,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,3,6",1130.131,32.2999,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,3,7",1128.125,32.3153,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,4,5",1136.915,32.3037,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,4,6",1138.662,32.3063,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,4,7",1144.341,32.3203,"6,4,0,3,1,2,5"
