"","Dataset","Frame","Synthesized.View","X.passes","WS.PSNR","CEL","theo_time","p1","p2","p3","V1","V2","V3","V4","V5","V6","V7"
"48","TechnicolorMuseum",50,2,3,20.6731,0.00577654197025481,116.523,2,4,5,4,1,11,13,0,17,12
"49","TechnicolorMuseum",50,2,3,25.7582,0.0360108066190542,159.902,2,4,6,4,1,11,13,0,17,12
"50","TechnicolorMuseum",50,2,3,25.7582,0.0361190041587475,159.423,2,4,7,4,1,11,13,0,17,12
"51","TechnicolorMuseum",50,2,3,25.7754,0.0361183725031582,159.902,2,5,6,4,1,11,13,0,17,12
"52","TechnicolorMuseum",50,2,3,25.7754,0.0362268932337241,159.423,2,5,7,4,1,11,13,0,17,12
"53","TechnicolorMuseum",50,2,3,25.7869,0.0362990283710631,159.423,2,6,7,4,1,11,13,0,17,12
"54","TechnicolorMuseum",50,2,3,21.123,0.00963758227989325,116.523,3,4,5,4,1,11,13,0,17,12
"55","TechnicolorMuseum",50,2,3,27.4158,0.0463771560080549,159.902,3,4,6,4,1,11,13,0,17,12
"56","TechnicolorMuseum",50,2,3,27.4158,0.0465165001285887,159.423,3,4,7,4,1,11,13,0,17,12
"57","TechnicolorMuseum",50,2,3,27.4154,0.0463746544758665,159.902,3,5,6,4,1,11,13,0,17,12
"58","TechnicolorMuseum",50,2,3,27.4154,0.0465139910803335,159.423,3,5,7,4,1,11,13,0,17,12
"59","TechnicolorMuseum",50,2,3,27.4245,0.0465710719281408,159.423,3,6,7,4,1,11,13,0,17,12
"60","TechnicolorMuseum",50,2,3,27.4458,0.0465647709221898,159.902,4,5,6,4,1,11,13,0,17,12
"61","TechnicolorMuseum",50,2,3,27.4458,0.046704678747734,159.423,4,5,7,4,1,11,13,0,17,12
"62","TechnicolorMuseum",50,2,3,27.4462,0.0467071877959893,159.423,4,6,7,4,1,11,13,0,17,12
"63","TechnicolorMuseum",50,2,3,27.4731,0.0468759212911562,159.423,5,6,7,4,1,11,13,0,17,12
"64","TechnicolorMuseum",50,3,1,13.6298,-0.209615004935834,30.39,1,0,0,0,11,13,12,4,1,17
"65","TechnicolorMuseum",50,3,1,24.0516,0.0487592365273064,83.094,2,0,0,0,11,13,12,4,1,17
"66","TechnicolorMuseum",50,3,1,27.5464,0.0649571766731224,116.175,3,0,0,0,11,13,12,4,1,17
"67","TechnicolorMuseum",50,3,1,27.5464,0.0650405943495423,116.026,4,0,0,0,11,13,12,4,1,17
"68","TechnicolorMuseum",50,3,1,27.6964,0.0662397796712282,116.19,5,0,0,0,11,13,12,4,1,17
"69","TechnicolorMuseum",50,3,1,27.8082,0.0654199656486951,119.355,6,0,0,0,11,13,12,4,1,17
"70","TechnicolorMuseum",50,3,1,28.0715,0.0512355827519884,157.537,7,0,0,0,11,13,12,4,1,17
"71","TechnicolorMuseum",50,3,2,23.4132,0.0410763713384841,83.094,1,2,0,0,11,13,12,4,1,17
"72","TechnicolorMuseum",50,3,2,26.2327,0.0536492360662793,116.175,1,3,0,0,11,13,12,4,1,17
"73","TechnicolorMuseum",50,3,2,26.2327,0.0537181321427956,116.026,1,4,0,0,11,13,12,4,1,17
"74","TechnicolorMuseum",50,3,2,26.343,0.0545916171787589,116.19,1,5,0,0,11,13,12,4,1,17
"75","TechnicolorMuseum",50,3,2,26.4489,0.0540312513091198,119.355,1,6,0,0,11,13,12,4,1,17
"76","TechnicolorMuseum",50,3,2,26.6398,0.0421475589861429,157.537,1,7,0,0,11,13,12,4,1,17
"77","TechnicolorMuseum",50,3,2,27.5275,0.0647944910695072,116.175,2,3,0,0,11,13,12,4,1,17
